type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data,timestamp
\x1b[0;32mI (182007) csi_recv: ================ CSI RECV ==========CSI_DATA,1892,1a:00:00:00:00:00,-49,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,965874366,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,8,-16,7,-15,6,-14,5,-12,4,-11,3,-9,2,-8,1,-7,0,-6,0,-5,0,-5,0,-4,0,-4,1,-3,1,-3,2,-2,3,-1,3,-1,3,-1,4,0,3,0,3,0,3,0,3,0,3,0,2,-1,0,0,1,-2,0,-2,-1,-3,-2,-3,-2,-4,-3,-4,-4,-5,-5,-5,-5,-6,-6,-6,-6,-6,-7,-7,-7,-7,-6,-8,-6,-8,-5,-8,-4,-8,-4,-7,-3,-6,-2,-6,-1,-5,-1,-4,0,-3,0,-2,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,60,-5,60,-5,54,1,52,1,48,1,40,4,44,-1,33,4,25,3,25,5,20,4,17,4,10,4,9,3,12,5,7,2,8,2,6,-1,9,-2,5,-8,7,-5,5,-9,7,-8,9,-10,5,-8,8,-8,4,-7,8,-4,5,-5,3,-1,3,2,7,-2,5,5,4,5,4,5,1,11,3,14,3,18,-3,19,-2,23,0,25,2,27,0,27,0,25,4,26,2,23,4,24,8,18,8,14,6,13,6,9,5,4,3,4,6,2,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,-27,-11,-28,-17,-29,-13,-30,-13,-30,-10,-29,-9,-28,-13,-27,-11,-30,-11,-25,-15,-21,-12,-24,-13,-18,-11,-12,-11,-11,-10,-7,-11,-5,-9,-14,-8,-7,-4,-4,2,1,3,1,9,0,7,2,10,5,14,3,17,6,16,4,24,3,26,5,25,2,29,-1,27,-2,26,-6,30,-9,27,-13,27,-19,26,-19,19,-26,17,-29,13,-29,8,-38,4,-40,0,-41,-7,-38,-16,-46,-15,-42,-23,-40,-31,-41,-31,-40,-35,-37,-40,-34,-45,-33,-56,-26,-53,-25,-54,-25,-55,-20,0,0]",14:05:00.841
CSI_DATA,1893,1a:00:00:00:00:00,-49,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,965976119,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-19,1,-17,1,-15,1,-14,1,-11,1,-10,1,-8,1,-7,1,-6,1,-5,1,-4,1,-4,0,-4,0,-3,-1,-3,-2,-3,-4,-2,-5,-2,-5,-2,-5,-1,-6,-1,-6,-1,-6,-2,-5,-2,-5,-2,-5,-2,-4,0,0,-3,-3,-3,-3,-4,-2,-4,-1,-5,0,-6,1,-6,1,-7,2,-7,3,-7,3,-8,4,-8,4,-9,4,-9,4,-9,3,-10,2,-9,1,-8,1,-7,0,-6,-1,-5,-1,-4,-1,-3,-1,-2,0,-2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-10,52,-12,53,-6,46,-9,48,-8,38,-11,40,-9,32,-6,29,-12,21,-8,20,-7,14,-6,10,-7,8,-7,10,-8,10,-5,8,-1,5,-2,6,3,4,9,5,9,5,8,6,13,3,12,2,12,3,9,3,11,2,9,4,10,5,10,5,8,6,5,8,1,8,-1,7,-4,12,-3,10,-1,11,-9,16,-11,15,-8,16,-15,12,-17,17,-18,19,-17,21,-15,21,-10,20,-10,16,-7,17,-10,12,-4,15,-3,13,-1,12,-1,4,3,2,-5,3,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,17,22,12,29,12,28,12,28,10,25,5,25,8,23,7,26,4,21,13,16,6,16,2,15,9,16,5,10,6,8,5,8,5,3,3,2,5,-4,4,-4,0,-6,-5,-11,-6,-9,-5,-13,-12,-17,-11,-18,-16,-14,-18,-18,-17,-20,-19,-22,-20,-17,-19,-20,-26,-16,-25,-16,-30,-9,-32,-7,-29,-3,-30,2,-32,7,-32,10,-35,17,-26,18,-31,28,-25,30,-26,25,-28,34,-27,40,-26,47,-16,48,-10,48,-8,55,-6,60,-5,59,-1,62,-2,60,2,63,0,0]",14:05:00.958
CSI_DATA,1894,1a:00:00:00:00:00,-49,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,966077593,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,16,-8,15,-7,12,-6,11,-6,8,-5,7,-5,5,-4,4,-4,3,-4,3,-4,3,-3,3,-2,3,-1,3,0,3,1,3,3,3,4,2,4,2,5,2,5,2,5,2,5,2,4,3,4,3,4,3,3,0,0,4,2,4,1,5,0,4,-1,5,-2,6,-3,6,-4,6,-5,6,-5,5,-6,6,-7,6,-7,7,-7,8,-8,8,-6,8,-6,7,-5,7,-4,7,-3,6,-2,4,-2,3,-1,2,-1,2,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,27,-53,28,-44,21,-42,23,-46,26,-37,18,-32,16,-24,20,-23,15,-20,10,-16,11,-16,8,-6,7,-12,7,-5,6,-6,7,-9,6,-14,4,-8,-4,-10,-5,-15,-13,-7,-7,-12,-11,-9,-14,-10,-13,-11,-17,-12,-16,-12,-11,-10,-8,-14,-12,-16,-6,-16,-4,-12,-3,-7,7,-14,3,-15,5,-11,12,-20,9,-16,16,-12,15,-15,22,-17,20,-14,22,-16,24,-17,21,-14,20,-16,20,-17,19,-17,17,-16,12,-13,12,-13,6,-10,4,-5,5,-10,7,-2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-33,-13,-30,-9,-30,-10,-32,-9,-34,-10,-32,-6,-32,-8,-30,-6,-30,-8,-25,-7,-26,-5,-25,-3,-22,-4,-24,-5,-18,-4,-13,-5,-16,-6,-13,-3,-4,1,-2,3,0,-1,3,4,3,6,5,5,10,14,13,10,12,15,10,18,16,18,13,20,15,22,18,15,21,26,16,24,12,23,11,21,5,25,-3,21,-7,23,-11,26,-14,19,-17,18,-24,19,-26,18,-35,19,-37,14,-42,11,-43,8,-52,5,-51,-4,-54,-5,-54,-13,-60,-14,-63,-15,-67,-23,-63,-28,-61,0,0]",14:05:01.037
CSI_DATA,1895,1a:00:00:00:00:00,-49,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,966174756,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-14,13,-12,11,-11,11,-9,9,-8,8,-6,6,-5,5,-4,4,-3,3,-2,2,-2,1,-3,1,-3,0,-4,-1,-5,-2,-5,-3,-6,-4,-6,-5,-6,-5,-7,-5,-6,-5,-7,-5,-6,-5,-6,-4,-6,-4,-6,-3,0,0,-5,-2,-5,0,-4,0,-4,1,-3,2,-2,3,-2,4,-1,5,0,6,0,6,0,7,0,8,1,9,1,9,0,10,0,9,-1,9,-2,8,-2,7,-2,6,-3,5,-3,4,-3,3,-2,2,-2,1,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-63,-10,-64,-9,-59,-13,-53,-19,-46,-13,-44,-11,-41,-9,-35,-8,-25,-10,-24,-4,-16,-6,-18,-6,-10,-1,-9,-2,-9,0,-5,6,-8,5,-6,9,-13,11,-6,13,-10,14,-9,19,-9,21,-13,14,-11,17,-10,19,-13,15,-14,13,-12,14,-7,5,-12,4,-12,3,-10,-1,-13,-4,-7,-10,-9,-11,-7,-13,-5,-14,-9,-20,-2,-24,-6,-24,-4,-25,-4,-28,1,-28,1,-26,-1,-28,-3,-25,-5,-24,-6,-26,-9,-17,-10,-14,-7,-12,-8,-9,-5,-3,-3,-6,-4,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,5,31,7,31,7,33,10,34,4,36,8,30,7,34,9,31,4,27,5,26,6,22,5,19,1,20,3,17,5,17,9,12,2,10,-5,5,3,2,0,-3,-6,1,-8,-5,-13,-6,-12,-8,-17,-7,-18,-7,-19,-4,-21,-9,-26,-1,-31,-5,-27,-3,-31,-2,-28,0,-25,9,-23,11,-21,15,-21,21,-15,19,-10,26,-7,29,-2,28,3,29,7,38,13,40,29,31,26,33,32,35,35,29,38,28,41,29,53,23,54,22,55,13,68,13,63,10,63,1,0,0]",14:05:01.131
CSI_DATA,1896,1a:00:00:00:00:00,-50,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,966373100,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,12,-15,11,-14,9,-12,8,-11,6,-9,5,-9,3,-7,2,-6,1,-5,0,-5,0,-5,0,-4,0,-3,1,-2,1,-1,1,1,2,2,1,2,2,3,2,3,2,4,2,4,2,3,2,3,2,3,2,3,0,0,2,1,1,0,1,-1,1,-1,1,-3,1,-3,1,-4,1,-5,0,-6,0,-6,0,-7,0,-8,0,-8,1,-9,2,-8,3,-9,3,-7,3,-7,3,-6,3,-4,3,-3,3,-2,2,-2,2,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,52,-24,47,-25,49,-20,50,-11,46,-13,43,-13,33,-9,28,-9,32,-6,25,-1,19,-1,17,1,11,3,9,3,9,2,5,-1,4,0,6,-8,2,-6,-3,-9,-5,-12,-6,-10,-4,-11,-4,-11,-4,-12,-9,-11,-5,-11,-5,-11,-2,-8,-4,-8,-1,-6,-2,-8,-1,-6,4,-1,6,1,9,2,3,4,8,6,12,5,13,10,9,13,11,14,15,14,14,13,14,11,17,7,16,10,19,3,20,5,17,1,12,-5,10,-3,10,-1,8,0,4,-4,4,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-22,-15,-24,-15,-28,-19,-26,-16,-27,-15,-25,-10,-27,-15,-25,-8,-25,-15,-18,-11,-21,-13,-16,-8,-15,-11,-11,-9,-11,-9,-8,-9,-7,-7,-2,-8,0,-5,3,0,4,2,5,3,7,6,6,11,9,14,9,18,6,25,10,19,12,29,14,29,10,32,10,30,12,35,5,33,4,29,-1,28,-9,28,-13,31,-17,28,-18,24,-21,19,-28,17,-35,11,-38,8,-41,-1,-33,0,-43,-8,-44,-14,-51,-15,-46,-21,-44,-28,-48,-37,-49,-36,-43,-37,-45,-45,-45,-49,-38,0,0]",14:05:01.330
CSI_DATA,1897,1a:00:00:00:00:00,-49,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,966573283,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-16,4,-14,4,-14,5,-11,4,-11,4,-9,3,-7,3,-7,2,-5,2,-5,2,-4,1,-5,0,-5,0,-5,-1,-5,-2,-5,-2,-5,-3,-5,-4,-5,-4,-5,-4,-5,-5,-5,-4,-5,-4,-4,-3,-4,-3,-3,-2,0,0,-3,0,-2,1,-1,1,-1,3,0,4,0,4,1,5,1,5,2,6,2,6,2,7,3,7,3,7,3,7,3,8,2,7,1,7,1,6,0,6,0,5,-1,4,-1,3,-1,2,-1,1,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-55,11,-54,14,-57,10,-50,2,-43,0,-44,4,-38,4,-35,0,-27,-3,-29,-3,-20,-1,-22,-2,-16,1,-12,-3,-15,-1,-17,-1,-13,4,-15,8,-14,11,-7,9,-9,12,-9,10,-12,14,-10,13,-10,13,-8,13,-6,8,-12,4,-8,4,-9,2,-8,-1,-7,-3,-9,-6,-9,-10,-3,-9,-5,-15,-6,-14,-3,-21,-1,-18,0,-20,-3,-21,1,-27,2,-24,3,-24,2,-23,0,-24,-3,-23,0,-20,-4,-18,-6,-16,-5,-12,-6,-8,1,-6,-6,1,-2,-3,-3,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,30,-12,36,-15,34,-14,35,-11,28,-15,37,-13,37,-12,32,-12,33,-11,25,-6,29,-9,30,-1,24,-3,19,2,19,-1,17,0,16,0,13,-4,10,1,7,-3,-3,3,1,-4,0,-6,-5,-7,-7,-13,-6,-16,-5,-22,-11,-15,-14,-24,-12,-22,-12,-29,-11,-28,-11,-24,-5,-29,-7,-27,-1,-33,6,-30,6,-25,10,-22,11,-23,23,-20,24,-17,32,-16,32,-2,39,6,35,3,38,12,42,23,41,24,42,30,41,32,42,39,40,47,36,48,33,50,23,50,30,0,0]",14:05:01.522
CSI_DATA,1898,1a:00:00:00:00:00,-48,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,966778759,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,16,6,15,6,14,5,13,5,11,4,10,4,9,3,8,2,6,2,6,1,6,1,5,1,5,2,5,2,5,3,4,3,4,4,3,4,3,4,3,4,3,4,3,3,3,3,4,2,3,2,4,1,0,0,4,-1,4,-2,4,-2,4,-3,5,-4,5,-5,5,-6,5,-7,5,-7,4,-8,5,-9,5,-9,5,-10,6,-10,6,-9,6,-8,6,-7,6,-6,6,-5,5,-4,4,-3,3,-2,2,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,1,-53,3,-58,10,-52,1,-49,-1,-47,6,-38,1,-42,1,-33,2,-32,4,-23,2,-23,1,-17,1,-14,-1,-18,3,-19,3,-18,5,-16,0,-11,-3,-16,-9,-19,-9,-14,-9,-14,-9,-15,-9,-14,-5,-10,-7,-11,-5,-15,-3,-13,-6,-14,1,-11,1,-16,5,-15,6,-14,8,-13,11,-9,13,-12,19,-12,21,-7,20,-10,18,-6,22,-8,24,-10,27,-10,27,-13,30,-15,22,-18,26,-14,21,-18,19,-11,15,-10,13,-10,9,-7,2,-8,6,-2,-3,-1,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-27,3,-33,10,-32,10,-33,6,-32,8,-33,6,-29,7,-29,11,-29,5,-25,8,-28,5,-22,6,-21,6,-21,3,-20,5,-13,0,-8,0,-8,-3,-10,4,-5,2,2,0,4,-1,4,2,8,3,10,1,14,6,17,8,18,5,20,9,24,9,20,8,25,13,24,13,22,15,20,17,16,18,23,26,13,27,9,27,9,27,4,27,1,29,-2,29,-10,31,-14,28,-25,26,-27,21,-25,24,-33,13,-35,18,-44,13,-42,13,-50,8,-52,5,-58,8,-56,10,-49,0,0]",14:05:01.748
CSI_DATA,1899,1a:00:00:00:00:00,-48,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,966875133,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-12,-17,-11,-15,-12,-14,-10,-12,-10,-11,-8,-9,-8,-7,-7,-6,-6,-4,-6,-4,-6,-3,-5,-3,-5,-3,-4,-3,-3,-3,-3,-3,-2,-3,-1,-3,-1,-3,0,-3,0,-3,0,-3,0,-3,-1,-3,-1,-2,-1,-2,0,0,-2,-2,-3,-2,-4,-1,-4,-1,-5,-1,-5,0,-6,0,-7,0,-7,1,-8,1,-9,0,-9,0,-10,0,-10,0,-10,-1,-10,-2,-10,-3,-8,-3,-8,-3,-6,-4,-5,-4,-4,-4,-3,-4,-2,-3,-2,-3,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,15,70,20,56,14,59,8,51,6,42,8,46,9,40,0,37,-1,30,1,25,1,18,-2,16,-9,16,-5,18,-7,12,-5,13,-4,9,-5,12,-2,7,-1,8,1,7,4,6,4,3,5,6,8,5,9,8,6,5,5,3,3,5,-3,4,1,7,-2,8,-5,5,-8,6,-9,7,-7,6,-13,5,-14,7,-15,8,-20,10,-23,10,-18,9,-23,14,-24,15,-20,12,-23,12,-17,19,-18,15,-17,18,-13,17,-9,14,-8,9,-2,6,-4,6,-1,5,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,18,-20,16,-23,18,-19,18,-22,20,-19,15,-19,18,-17,19,-18,21,-22,19,-16,16,-13,15,-13,13,-11,12,-4,11,-9,12,-1,11,-4,10,3,4,0,6,4,3,5,-3,8,-8,6,-5,9,-10,13,-15,9,-19,12,-18,8,-23,9,-27,5,-28,5,-26,-2,-29,-2,-27,-7,-32,-8,-29,-12,-34,-14,-30,-15,-25,-20,-20,-21,-18,-30,-18,-31,-11,-41,-5,-35,2,-34,3,-36,9,-40,17,-41,25,-45,26,-38,30,-39,37,-33,40,-36,46,-33,49,-27,53,-26,54,0,0]",14:05:01.847
CSI_DATA,1900,1a:00:00:00:00:00,-49,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,966973375,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-19,1,-17,1,-16,1,-13,1,-12,1,-10,1,-8,1,-6,0,-5,1,-4,1,-3,1,-3,0,-2,0,-2,-1,-2,-2,-2,-3,-1,-4,-1,-5,-1,-5,-1,-6,0,-6,-1,-6,-1,-6,-1,-6,-1,-6,-2,-6,0,0,-2,-5,-3,-4,-3,-3,-3,-2,-3,-1,-3,-1,-4,0,-4,1,-4,2,-5,3,-5,3,-5,4,-6,5,-6,5,-7,5,-7,4,-8,4,-7,3,-7,2,-7,1,-6,0,-5,0,-5,-1,-4,-1,-4,-1,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-44,47,-43,46,-39,44,-42,39,-39,25,-33,31,-33,25,-25,19,-25,17,-21,11,-18,8,-13,3,-15,4,-8,0,-9,4,-9,3,-6,6,-3,5,1,5,3,6,8,10,9,8,8,6,10,7,12,10,12,13,13,9,10,11,13,9,7,10,6,7,6,11,4,7,0,11,-3,7,-1,9,-5,5,-11,8,-9,3,-12,0,-17,3,-17,2,-18,2,-20,5,-19,7,-22,6,-23,12,-24,11,-16,13,-21,10,-11,13,-12,14,-8,10,-6,9,-2,7,-2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,12,29,10,30,16,33,7,35,8,30,11,31,11,30,10,28,7,29,9,25,9,26,7,17,7,18,8,14,9,8,6,8,6,7,4,9,1,-1,-2,-4,0,-4,-9,-8,-12,-11,-10,-8,-14,-16,-16,-18,-18,-24,-25,-18,-28,-17,-27,-21,-26,-21,-29,-18,-28,-13,-30,-12,-32,-9,-32,-8,-33,-2,-32,4,-31,7,-30,12,-28,19,-23,22,-21,31,-21,33,-24,35,-12,38,-10,49,0,48,2,48,3,49,11,55,16,54,19,57,25,52,32,49,35,53,0,0]",14:05:01.951
CSI_DATA,1901,1a:00:00:00:00:00,-49,11,1,0,1,1,1,0,0,0,1,-91,0,11,2,967082876,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-19,0,-17,1,-17,1,-14,1,-12,1,-10,1,-8,1,-7,0,-5,0,-4,1,-4,0,-3,0,-3,-1,-3,-2,-2,-3,-2,-4,-2,-5,-2,-5,-2,-6,-2,-6,-1,-6,-2,-6,-2,-6,-2,-6,-2,-6,-2,-5,0,0,-3,-4,-3,-3,-3,-2,-3,-1,-3,1,-3,2,-3,3,-4,4,-4,5,-4,5,-4,6,-4,7,-5,7,-6,8,-6,7,-6,7,-7,6,-6,5,-6,4,-6,3,-5,2,-4,1,-3,1,-3,1,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,-56,29,-48,29,-51,22,-50,26,-43,23,-41,13,-36,14,-36,11,-28,14,-23,7,-23,6,-9,5,-14,0,-12,3,-8,6,-9,3,-10,7,-4,8,-2,5,1,8,5,11,4,12,5,12,2,11,4,8,4,11,2,16,4,10,0,13,1,9,3,9,-1,10,-4,5,-5,1,-6,1,-9,-4,-10,-2,-9,-2,-15,-6,-15,-6,-19,-6,-18,-10,-19,-8,-22,-7,-29,-4,-26,-5,-24,-2,-21,3,-27,2,-22,-2,-18,5,-17,4,-12,1,-9,4,-1,-1,-6,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,17,21,19,22,23,28,15,19,21,23,20,25,20,23,16,22,12,19,14,19,13,14,11,17,10,13,7,11,7,10,9,6,6,4,2,3,2,0,-4,-1,-6,-2,-7,-1,-13,-3,-17,-7,-22,-9,-22,-7,-22,-10,-25,-6,-29,-11,-27,-5,-32,-11,-34,-5,-30,-6,-33,-3,-29,3,-30,8,-32,13,-25,15,-25,14,-24,23,-19,25,-16,29,-9,32,-5,34,5,35,8,39,12,43,20,41,21,42,25,44,31,43,34,40,39,40,46,43,51,44,46,41,0,0]",14:05:02.052
