type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data,timestamp
CSI_DATA,0,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,83155197,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,2,3,2,2,2,1,3,1,3,0,3,-1,3,-1,4,-2,4,-3,4,-3,4,-3,4,-4,4,-4,4,-5,3,-5,3,-5,2,-6,1,-6,0,-7,0,-8,-1,-10,-2,-10,-2,-11,0,0,-2,-13,-2,-14,-3,-15,-3,-16,-3,-16,-3,-17,-3,-18,-2,-18,-2,-18,-2,-19,-2,-19,-2,-19,-1,-18,0,-18,-1,-18,-1,-18,0,-19,0,-17,1,-16,1,-16,1,-15,1,-15,1,-15,1,-14,1,-13,2,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,3,-16,7,-21,6,-16,3,-11,7,-18,2,-13,3,-9,2,-6,3,-10,1,-9,10,-8,5,0,7,0,8,1,5,0,11,6,14,2,15,2,19,3,17,3,17,6,16,4,13,12,7,16,7,16,11,19,7,22,6,28,2,22,5,27,3,36,4,38,9,37,4,42,6,45,0,42,8,43,5,49,8,43,9,50,3,47,5,50,11,42,8,42,6,39,7,47,9,41,10,45,12,40,11,38,5,40,9,37,12,32,11,34,8,32,10,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15,1,13,-8,17,-2,18,-9,14,-3,16,-4,15,-1,16,-2,19,-8,15,-7,18,-3,13,0,15,-2,12,-2,13,-3,14,-8,13,-1,13,-5,18,-6,9,-2,8,6,10,5,7,3,9,1,7,4,11,7,4,6,14,2,9,9,15,13,16,10,13,8,7,15,11,16,17,11,15,11,15,12,15,9,12,8,10,6,11,9,7,6,7,11,6,8,7,16,7,7,6,14,3,9,5,-2,6,0,1,5,3,0,3,4,-5,-9,-7,0,-6,-5,-11,0,0]",14:24:31.119
CSI_DATA,1,1a:00:00:00:00:00,-39,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,83253675,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-3,-7,-2,-7,-2,-7,-2,-6,-2,-5,-2,-4,-1,-3,-2,-2,-2,-2,-2,-1,-2,0,-2,1,-2,1,-2,2,-2,2,-2,3,-1,3,-1,3,-1,3,0,4,1,4,2,5,3,6,3,7,4,7,5,8,0,0,5,10,6,10,6,10,7,12,7,11,7,12,8,13,7,14,8,14,8,14,7,14,7,14,7,14,6,14,7,14,6,13,6,14,6,13,5,12,5,12,5,12,5,11,5,11,4,11,4,10,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,35,1,47,1,41,-3,45,4,39,14,26,4,33,5,21,9,26,3,14,4,5,0,12,-8,9,-6,-6,-9,-8,-20,-2,-13,-5,-18,-10,-16,-21,-12,-9,-10,-20,-14,-29,-8,-24,-5,-34,-6,-38,-4,-37,2,-48,10,-50,10,-54,-3,-65,4,-70,13,-60,-1,-79,17,-72,14,-84,19,-87,17,-81,27,-101,23,-85,14,-87,18,-95,0,-96,16,-83,5,-92,16,-87,13,-98,7,-88,8,-87,13,-82,15,-73,4,-76,12,-69,7,-66,10,-68,7,-61,6,-67,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-31,6,-32,2,-36,5,-34,16,-27,6,-42,6,-29,-9,-29,-5,-29,-3,-29,3,-39,-7,-41,-4,-36,-10,-40,-6,-45,-7,-34,-4,-51,2,-36,2,-42,-11,-34,-14,-31,-15,-29,-10,-40,-15,-36,-17,-34,-16,-42,-16,-42,-23,-36,-17,-39,-25,-48,-24,-37,-37,-37,-24,-38,-32,-34,-34,-37,-30,-32,-32,-35,-33,-35,-26,-33,-20,-22,-13,-28,-23,-19,-26,-19,-22,-16,-24,-18,-30,-6,-32,-4,-24,-6,-29,-1,-23,-10,-22,8,-19,5,-21,11,-13,17,-8,17,-7,19,-14,7,0,0]",14:24:31.203
CSI_DATA,2,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,83353677,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,5,-2,5,-2,4,-2,4,-1,3,-1,3,0,2,0,1,0,0,0,0,0,-1,0,-2,0,-2,1,-3,1,-3,1,-3,1,-3,1,-3,2,-3,3,-3,4,-3,5,-3,6,-2,7,-3,9,-4,10,-4,11,0,0,-4,13,-5,13,-5,15,-4,14,-5,16,-5,17,-5,17,-5,18,-6,17,-5,17,-6,18,-6,18,-6,18,-6,18,-6,16,-7,17,-6,16,-6,16,-6,15,-6,14,-5,14,-5,13,-4,12,-4,12,-3,12,-3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-12,5,-16,1,-21,-1,-15,5,-14,0,-13,3,-14,1,-11,1,-7,0,-4,-5,-3,1,-4,0,0,-6,-4,2,1,-2,4,-3,6,-4,5,-5,5,-2,11,-6,4,-7,4,-9,7,-7,5,-19,8,-20,7,-19,6,-22,9,-25,9,-32,7,-35,8,-30,5,-35,11,-37,10,-41,9,-45,12,-39,12,-46,14,-48,11,-53,16,-46,8,-49,15,-46,14,-50,20,-49,10,-43,7,-41,13,-50,13,-46,11,-37,10,-40,7,-37,12,-38,13,-35,7,-34,0,-36,9,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,-2,16,-2,15,-3,11,-1,14,1,13,1,9,-1,13,-3,11,2,7,2,14,0,15,3,15,2,12,3,15,-1,14,-1,17,4,18,3,13,1,15,7,16,1,11,4,12,8,8,10,16,12,11,15,13,17,11,15,12,20,10,19,9,18,11,18,12,19,9,16,11,21,12,19,11,18,11,18,15,19,12,22,9,13,8,18,9,17,-2,13,-1,17,6,15,6,21,0,13,-4,14,3,12,0,13,-4,15,-7,2,-2,10,-7,2,-7,1,-11,0,0]",14:24:31.320
CSI_DATA,3,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,83453915,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-2,6,-2,5,-2,5,-2,4,-2,4,-2,3,-1,2,-1,2,0,1,0,0,0,-1,1,-1,1,-2,2,-2,2,-2,2,-3,1,-3,1,-3,0,-3,-1,-4,-1,-5,-2,-6,-3,-7,-3,-8,-4,-9,-4,-9,0,0,-5,-12,-6,-13,-5,-13,-6,-14,-6,-14,-7,-15,-7,-16,-7,-17,-7,-17,-6,-18,-5,-17,-5,-17,-5,-17,-5,-16,-6,-17,-5,-15,-5,-17,-5,-14,-5,-14,-4,-14,-5,-13,-5,-13,-4,-13,-4,-12,-4,-12,-4,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-14,-14,-16,-13,-14,-10,-11,-10,-21,-5,-14,-9,-12,-5,-14,-7,-16,-5,-6,-10,-7,-4,-8,-6,-6,-3,-3,-4,-1,-3,7,-2,3,-3,7,0,10,1,5,-2,9,4,13,4,8,5,0,9,5,8,9,17,8,18,3,28,4,23,9,28,11,28,6,38,14,37,12,37,12,35,7,40,9,44,9,43,14,42,8,50,17,39,19,42,15,44,21,42,15,42,15,46,17,44,18,38,13,39,13,33,9,41,9,38,8,38,12,36,8,25,10,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,6,-12,9,-11,7,-11,11,-12,5,-10,4,-13,9,-16,8,-14,12,-15,7,-20,8,-16,7,-15,6,-20,5,-24,7,-16,7,-20,11,-20,5,-16,2,-14,7,-12,5,-14,10,-17,12,-13,6,-11,12,-10,13,-10,14,-8,18,-8,20,-11,15,-8,20,-9,16,-7,26,-4,23,-2,23,-3,26,-6,29,-12,24,-9,21,-7,22,-6,16,-1,23,-2,17,3,14,-1,17,1,12,2,17,2,15,11,14,2,12,4,11,6,10,7,3,5,5,4,1,15,-5,9,-4,0,0]",14:24:31.402
CSI_DATA,4,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,83559179,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,1,-8,1,-8,1,-7,1,-6,0,-5,0,-5,0,-4,-1,-3,-1,-3,-2,-2,-2,-1,-2,-1,-3,0,-3,0,-3,1,-3,1,-3,2,-3,3,-2,3,-2,4,-1,5,-1,6,0,6,0,8,0,9,1,11,0,0,1,13,0,13,1,15,1,14,1,16,1,17,1,18,1,18,0,18,0,18,-1,18,-1,18,-1,18,-1,17,-1,16,-1,17,-1,15,-1,15,-1,14,-1,14,0,14,-1,13,0,12,-1,12,0,12,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,17,-1,16,-2,12,-2,17,-6,16,-3,15,0,15,-5,18,4,10,-2,5,1,9,3,3,4,12,-3,5,4,5,3,-2,-1,-2,2,-1,2,-3,1,-8,4,-12,6,-6,0,-5,1,-10,1,-10,3,-20,1,-19,-4,-19,-5,-21,-5,-28,-4,-30,-2,-35,-7,-39,-11,-40,-7,-37,-4,-44,-5,-43,-3,-50,-5,-45,-6,-51,-4,-50,-2,-46,-2,-49,0,-43,-2,-45,-5,-44,-2,-39,-3,-46,-4,-36,-5,-40,2,-37,-7,-35,-2,-33,-1,-36,-2,-32,-4,-29,0,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,12,2,15,-3,15,-3,18,-2,16,-3,13,-1,18,1,16,3,17,4,14,-4,25,7,18,2,20,7,21,1,24,5,18,5,23,-1,11,-1,13,4,14,2,16,-3,12,-7,11,-5,13,-2,14,-3,15,-6,17,-8,15,-10,17,-4,16,-14,13,-10,14,-10,19,-19,18,-11,23,-17,19,-14,15,-16,10,-14,14,-10,11,-11,9,-11,8,-15,12,-13,5,-16,7,-17,8,-15,5,-14,5,-11,3,-7,-2,-7,-2,-6,-8,-9,-7,-4,-9,-2,-11,-2,-11,-5,0,0]",14:24:31.534
CSI_DATA,5,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,83653657,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,1,4,1,3,1,2,1,1,1,0,1,0,1,-1,0,-2,0,-3,0,-3,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,0,-4,0,-5,1,-5,2,-6,3,-6,3,-7,4,-8,5,-8,6,0,0,-9,7,-10,8,-11,9,-11,9,-11,10,-12,10,-13,10,-13,11,-13,10,-14,10,-14,9,-14,10,-14,9,-14,9,-13,9,-13,9,-13,9,-12,8,-12,8,-11,8,-11,8,-11,8,-10,8,-10,7,-9,7,-9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,7,-32,24,-25,6,-26,-1,-25,11,-39,13,-25,6,-16,9,-22,-2,-21,-1,-12,-14,2,-4,-9,-2,-1,3,4,-9,7,-11,19,-11,19,-6,20,-5,19,-11,18,-7,13,-12,20,-11,14,-26,13,-30,13,-32,13,-40,6,-47,17,-50,14,-60,8,-59,0,-67,14,-65,11,-66,11,-77,15,-72,23,-77,21,-85,15,-95,8,-90,18,-93,23,-73,27,-95,19,-87,24,-88,22,-91,29,-80,30,-95,15,-69,15,-85,19,-74,14,-76,15,-69,8,-78,16,-72,9,-57,2,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,-1,23,-4,38,2,23,6,26,-4,21,-1,29,0,31,7,27,3,29,8,33,9,40,3,36,5,41,2,38,9,44,6,36,-5,39,1,33,6,31,15,31,17,32,11,31,10,27,27,33,27,22,26,20,28,23,37,34,27,23,40,15,46,17,32,17,44,15,52,9,42,17,51,16,43,18,42,21,40,18,35,18,41,8,27,0,39,-2,40,-12,34,-6,37,-5,35,-9,32,-1,35,-10,18,-10,11,-5,7,-10,18,-14,5,-12,-6,-18,1,-28,0,0]",14:24:31.571
CSI_DATA,6,1a:00:00:00:00:00,-41,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,83855030,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,1,6,1,6,1,4,1,3,1,3,1,2,0,1,0,0,0,0,-1,-1,-1,-2,-1,-3,-1,-3,-2,-3,-2,-3,-2,-3,-1,-4,0,-4,0,-4,1,-5,2,-5,3,-6,4,-6,5,-7,6,0,0,-9,7,-10,8,-11,9,-11,9,-12,10,-13,10,-13,10,-14,10,-14,10,-13,10,-14,10,-14,10,-14,9,-14,10,-13,8,-13,9,-13,8,-12,8,-12,7,-11,7,-10,7,-11,7,-9,7,-9,7,-8,7,-8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,12,-31,17,-40,21,-43,10,-35,4,-38,9,-38,9,-37,1,-30,3,-21,2,-26,1,-14,3,-9,-2,-5,-1,-5,2,0,-3,9,-6,15,1,15,-6,18,-4,21,3,17,-1,19,-6,13,-10,13,-18,21,-26,9,-29,13,-35,15,-38,14,-47,20,-52,21,-61,31,-64,25,-74,28,-74,26,-81,33,-81,34,-83,35,-85,35,-83,42,-81,42,-84,43,-86,41,-81,47,-88,36,-69,35,-77,38,-84,35,-75,35,-71,32,-66,28,-61,31,-62,27,-59,26,-59,25,-54,19,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,6,31,2,35,2,39,5,31,8,39,6,37,10,40,4,37,7,39,4,43,10,47,9,48,13,52,9,45,3,47,6,45,5,47,1,44,2,37,9,38,13,41,25,34,21,35,20,28,29,30,30,32,29,29,36,28,36,34,33,30,41,18,43,20,43,20,48,24,49,27,45,24,49,29,38,22,39,23,38,14,33,10,34,9,35,7,37,3,36,5,31,-1,38,-4,26,-4,27,0,26,-7,20,-4,18,-8,4,-13,-1,-10,-10,-15,-1,-20,0,0]",14:24:31.784
CSI_DATA,7,1a:00:00:00:00:00,-41,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,83957430,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,3,2,3,2,2,2,1,2,0,1,-1,1,-1,1,-2,1,-3,0,-3,0,-4,0,-4,0,-4,-1,-5,-1,-5,-1,-4,-2,-4,-3,-4,-4,-4,-6,-4,-7,-4,-8,-4,-9,-4,-10,-4,0,0,-13,-5,-14,-5,-14,-6,-16,-6,-15,-7,-16,-7,-17,-8,-17,-8,-17,-8,-16,-9,-16,-9,-16,-9,-16,-9,-15,-8,-16,-7,-15,-7,-15,-8,-14,-8,-13,-7,-13,-7,-12,-7,-12,-6,-12,-6,-11,-6,-10,-6,-9,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,7,-21,6,-19,5,-19,4,-16,5,-19,1,-16,3,-12,0,-12,0,-7,0,-3,5,-5,6,-3,4,1,4,4,9,4,6,7,6,6,6,10,7,9,5,10,2,8,2,13,4,12,-2,13,-5,14,-6,22,-10,19,-13,20,-17,23,-17,27,-17,31,-19,28,-25,35,-25,34,-23,37,-24,40,-26,41,-27,43,-25,43,-24,41,-22,45,-22,44,-20,41,-22,43,-23,38,-21,41,-24,38,-21,38,-20,40,-18,33,-15,36,-15,34,-15,31,-17,27,-15,27,-13,26,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,15,-1,16,-1,14,-1,15,-2,14,-3,18,-2,14,1,17,-1,16,-5,15,-2,19,-2,19,-4,16,-3,18,-3,17,-2,19,-2,18,-5,17,-5,18,-1,13,2,13,4,14,1,11,5,11,6,12,4,14,8,10,5,12,12,9,13,6,12,9,17,9,15,10,17,9,16,10,21,10,17,11,18,11,15,9,14,7,13,4,13,5,16,2,13,3,15,-2,16,4,13,0,12,0,11,-2,10,-1,6,-4,6,-4,4,-9,1,-11,3,-10,-2,-11,0,-13,0,0]",14:24:31.872
CSI_DATA,8,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,84054149,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-6,1,-6,1,-5,1,-4,1,-3,0,-2,0,-2,0,-1,0,0,0,1,0,2,0,2,-1,3,-1,4,0,4,0,5,-1,5,-1,5,-1,6,-2,6,-3,6,-4,6,-4,6,-5,7,-7,8,-7,8,-9,0,0,9,-10,10,-10,11,-11,11,-11,12,-12,13,-13,13,-13,14,-12,14,-12,14,-12,14,-11,14,-11,14,-10,14,-11,13,-10,13,-10,13,-9,12,-9,11,-9,11,-8,10,-8,10,-8,9,-8,9,-7,9,-7,8,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-24,25,-28,32,-30,25,-23,20,-15,29,-30,14,-9,11,-8,3,-9,15,-6,4,-4,7,-7,-8,5,-11,-5,-11,-2,-14,8,-22,2,-24,7,-23,11,-32,8,-33,16,-29,8,-23,13,-22,25,-31,30,-29,30,-31,34,-27,40,-36,52,-32,58,-33,58,-41,60,-33,70,-39,66,-34,79,-37,82,-47,76,-53,93,-52,84,-54,79,-51,80,-63,84,-59,88,-54,73,-45,76,-53,72,-44,71,-49,68,-54,64,-51,69,-48,58,-43,59,-39,53,-32,51,-37,48,-48,43,-28,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,-11,-17,-14,-16,-14,-12,-10,-22,-11,-21,-6,-22,-15,-21,-10,-22,-10,-34,-16,-38,-18,-36,-9,-31,-13,-35,-11,-27,-15,-32,-7,-32,-28,-30,-16,-20,-26,-30,-17,-28,-13,-29,-7,-24,-5,-22,-11,-24,-2,-31,-1,-25,12,-26,7,-26,10,-32,12,-31,22,-38,17,-33,8,-30,15,-40,26,-37,25,-44,12,-49,26,-45,17,-43,28,-29,9,-27,23,-17,14,-20,30,-31,39,-18,30,-28,25,-16,24,-19,24,-12,15,-6,16,-15,8,-4,11,11,17,12,27,28,25,5,25,0,0]",14:24:31.988
CSI_DATA,9,1a:00:00:00:00:00,-39,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,84153778,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,3,-3,3,-3,3,-3,2,-2,1,-2,0,-2,0,-1,-1,-1,-2,-1,-3,-1,-3,-1,-4,-1,-5,-1,-5,-1,-6,0,-6,0,-6,1,-6,1,-6,2,-6,3,-6,4,-6,6,-7,6,-7,7,-8,9,-9,10,0,0,-10,11,-11,13,-11,13,-12,14,-12,13,-13,14,-13,14,-14,14,-13,14,-14,14,-14,13,-15,13,-15,13,-14,12,-13,13,-12,12,-14,12,-12,11,-12,10,-12,10,-11,9,-11,9,-11,8,-10,8,-9,7,-9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,23,4,27,6,27,11,25,5,19,-2,25,-6,19,1,10,-1,10,6,15,2,6,-1,-3,2,-9,14,4,11,-4,10,-13,24,-10,12,-10,15,-23,12,-27,15,-27,16,-27,7,-36,3,-28,4,-32,3,-45,0,-52,-7,-59,-11,-62,-13,-64,-22,-67,-8,-74,-18,-88,-18,-86,-23,-80,-15,-88,-28,-101,-18,-98,-26,-110,-19,-92,-11,-107,-8,-106,1,-101,-9,-94,-16,-98,-10,-97,-12,-97,-4,-102,-8,-87,-7,-92,-6,-77,-8,-74,-8,-76,-6,-72,-13,-63,0,-62,-1,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,27,2,25,1,26,6,18,10,20,2,23,2,25,2,39,-5,32,1,27,6,34,14,28,11,32,4,37,3,36,-2,29,6,24,15,27,16,15,-5,26,4,27,4,22,-9,24,2,25,-4,22,-15,15,-5,25,-17,14,-15,15,-23,21,-28,20,-26,19,-28,17,-24,22,-31,23,-29,19,-27,29,-25,19,-24,14,-35,6,-28,12,-30,4,-23,14,-26,-1,-24,11,-30,-2,-30,-3,-31,8,-17,-10,-11,-1,-8,-16,-20,-2,-15,1,-14,-19,-17,-11,-10,-18,-4,0,0]",14:24:32.096
