type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data,timestamp
I (236068) csi_recv: ================ CSI RECV ================\rCSI_DATA,395,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,278668507,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-2,-19,-3,-20,-2,-19,-1,-20,-1,-19,0,-19,0,-18,0,-17,1,-16,0,-15,0,-14,0,-14,0,-13,0,-12,-1,-11,-1,-11,-1,-10,-2,-9,-2,-9,-3,-8,-2,-8,-3,-8,-3,-7,-4,-6,-4,-6,-4,-5,0,0,-5,-5,-5,-4,-6,-4,-6,-4,-6,-4,-7,-5,-7,-4,-7,-4,-7,-5,-7,-5,-7,-5,-6,-5,-6,-6,-6,-6,-4,-5,-4,-5,-4,-5,-3,-4,-3,-4,-3,-3,-3,-3,-3,-4,-3,-3,-3,-3,-2,-3,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-61,1,-54,0,-62,3,-52,5,-53,8,-56,7,-51,11,-58,8,-49,13,-50,10,-49,11,-45,14,-46,6,-37,10,-40,5,-35,7,-36,3,-32,3,-33,4,-27,4,-28,0,-22,-3,-27,-3,-24,-3,-22,-5,-17,-8,-17,-8,-17,-8,-14,-12,-15,-8,-16,-12,-15,-13,-14,-14,-12,-15,-14,-16,-17,-17,-16,-19,-15,-19,-13,-20,-14,-16,-15,-16,-15,-18,-17,-15,-16,-12,-19,-6,-15,-12,-13,-10,-13,-7,-11,-10,-11,-7,-13,-3,-10,-8,-10,-7,-7,-3,-7,-4,-8,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,8,-5,5,-7,8,-7,5,-6,7,-4,5,-7,3,-7,5,-5,3,-5,4,-6,6,-6,6,-5,4,-6,5,-7,5,-4,7,-8,5,-4,5,-6,4,-1,-2,-1,3,-4,0,-1,0,3,0,3,0,4,1,9,2,5,3,7,-1,13,3,9,2,11,1,13,5,13,2,14,1,16,5,15,1,18,-4,17,0,22,-2,27,-4,23,3,29,0,25,-5,35,-4,33,-2,32,-4,36,-5,40,-7,33,-7,41,-10,43,-8,46,-10,43,-6,48,-6,57,-9,51,-6,0,0]",10:05:46.598
CSI_DATA,396,1a:00:00:00:00:00,-37,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,278766592,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-19,-9,-20,-10,-18,-10,-19,-11,-17,-10,-17,-11,-15,-11,-15,-10,-13,-10,-13,-8,-13,-8,-12,-8,-12,-7,-11,-6,-11,-6,-10,-5,-10,-5,-9,-3,-10,-3,-9,-3,-9,-2,-9,-2,-8,-1,-8,0,-8,0,-8,1,0,0,-8,2,-7,2,-8,3,-7,3,-8,3,-8,3,-9,3,-9,3,-9,3,-9,3,-9,2,-9,2,-9,1,-9,1,-7,0,-8,0,-6,0,-6,0,-6,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,17,52,14,52,16,55,22,56,16,51,16,54,20,47,19,48,19,43,15,41,24,44,20,36,22,38,19,34,15,35,14,31,9,31,12,27,11,25,8,25,8,26,1,21,2,25,3,22,1,22,-1,20,-2,20,-3,18,-7,19,-9,16,-10,17,-9,19,-12,17,-11,18,-12,17,-14,16,-17,20,-14,21,-14,20,-17,24,-9,21,-9,20,-10,24,-9,22,-6,21,-7,14,-4,17,-8,15,-4,14,-5,11,-3,12,-4,11,-1,13,-2,11,-4,11,-2,12,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-6,-9,-8,-6,-8,-6,-9,-6,-8,-6,-7,-6,-6,-2,-8,-3,-9,-4,-4,-8,-10,-4,-9,-6,-7,-4,-8,-4,-7,-5,-9,-3,-3,-3,-5,-3,-2,-1,-3,-3,-1,0,3,0,-2,-3,2,2,2,-2,7,-3,5,-2,8,-2,10,-4,8,-6,10,-6,12,-6,10,-7,14,-2,13,-8,18,-9,18,-7,16,-3,19,-5,22,-5,23,-4,26,-6,26,-3,28,-3,30,-5,33,-6,34,-9,40,-1,39,-3,39,2,49,1,44,-6,49,-7,47,-6,51,-11,50,-9,55,0,0]",10:05:46.691
CSI_DATA,397,1a:00:00:00:00:00,-39,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,278866864,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-20,1,-19,1,-20,1,-19,0,-20,-1,-17,-1,-17,-1,-17,-1,-16,-1,-16,-2,-14,-2,-14,-1,-13,0,-13,0,-11,0,-11,1,-10,1,-10,1,-9,2,-9,2,-9,2,-8,3,-8,3,-7,3,-7,4,-6,3,0,0,-6,4,-6,5,-5,5,-5,6,-5,6,-5,6,-5,7,-6,6,-6,6,-7,6,-7,6,-7,6,-7,5,-6,4,-7,4,-6,3,-6,3,-5,3,-5,3,-5,2,-5,2,-4,2,-4,2,-4,2,-5,1,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,16,-53,13,-50,10,-56,12,-51,11,-54,10,-51,9,-50,9,-50,7,-49,7,-46,5,-47,6,-43,6,-42,4,-39,2,-36,3,-37,6,-29,3,-28,4,-25,8,-26,6,-25,8,-22,12,-23,10,-18,6,-16,12,-18,12,-19,11,-17,11,-14,14,-12,13,-12,15,-10,18,-12,18,-12,17,-11,18,-10,19,-11,20,-11,22,-13,21,-14,22,-15,20,-14,18,-17,16,-17,15,-13,15,-11,14,-12,10,-10,12,-12,12,-11,10,-11,9,-10,6,-8,8,-11,8,-9,5,-10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-2,9,-1,9,-1,6,1,6,4,8,2,6,1,8,1,9,3,4,3,7,4,4,2,7,0,4,2,6,2,6,1,5,0,2,0,7,0,3,0,2,-3,2,0,-2,-4,0,-4,-1,-6,-3,-8,0,-10,-2,-7,-2,-10,-2,-16,-2,-11,-3,-14,-2,-14,-3,-15,-3,-17,-3,-17,-5,-18,-9,-21,-8,-18,-5,-22,-8,-23,-10,-26,-9,-26,-11,-27,-12,-27,-16,-31,-14,-30,-18,-33,-16,-34,-21,-32,-20,-35,-19,-41,-20,-41,-22,-43,-20,-46,-19,-48,-22,-49,0,0]",10:05:46.751
CSI_DATA,398,1a:00:00:00:00:00,-39,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,278966508,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,20,-1,20,-1,19,-2,20,-2,18,-2,18,-3,17,-3,17,-3,16,-3,15,-2,14,-2,14,-2,13,-1,12,-1,11,-1,10,0,10,0,9,1,9,1,8,1,8,1,8,2,7,3,7,2,6,3,6,0,0,4,5,4,5,4,5,5,4,5,4,5,5,6,5,5,5,5,5,6,6,5,6,5,6,4,6,4,6,3,5,3,5,2,5,2,5,2,4,2,4,2,3,2,3,1,3,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,59,5,55,11,57,5,58,7,51,4,52,5,56,3,54,1,52,-1,55,2,52,2,47,-3,43,-1,44,-1,40,0,38,0,38,-1,32,2,30,2,28,2,30,3,25,6,26,5,26,6,22,6,21,6,18,9,20,12,16,11,15,13,13,11,14,15,15,17,13,19,12,16,11,19,12,22,10,20,11,19,12,19,14,16,17,15,18,12,13,15,16,11,15,8,15,10,13,12,13,6,10,8,8,7,11,5,11,7,7,4,9,6,10,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,-9,4,-8,3,-10,3,-9,6,-11,5,-8,5,-8,7,-8,2,-9,4,-8,3,-7,2,-10,3,-6,2,-5,2,-7,3,-9,-1,-5,4,-4,0,-5,-3,-3,-1,-3,0,-1,-4,-6,-5,-2,-3,-1,-9,-2,-9,-2,-12,-1,-8,-1,-11,-2,-12,-3,-14,-2,-14,2,-15,-1,-19,0,-18,2,-19,3,-20,5,-20,2,-21,6,-25,5,-29,4,-27,7,-29,7,-32,7,-33,8,-35,13,-38,13,-38,8,-45,10,-43,11,-47,14,-43,15,-50,15,-53,15,-58,14,0,0]",10:05:46.781
CSI_DATA,399,1a:00:00:00:00:00,-38,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,279066476,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,3,21,2,21,2,22,1,20,1,21,0,19,0,19,0,18,-1,17,-1,17,-1,15,-1,14,-1,13,-1,12,0,11,1,11,1,10,1,9,2,8,2,8,2,7,3,7,3,6,3,6,3,5,4,4,0,0,4,4,5,3,5,3,6,2,6,2,7,2,7,3,7,3,7,3,7,3,6,4,6,4,6,4,5,4,5,4,4,3,4,3,4,2,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,-41,-41,-46,-32,-41,-39,-44,-43,-46,-33,-42,-38,-46,-34,-45,-34,-48,-28,-37,-26,-42,-26,-41,-21,-40,-23,-41,-23,-32,-20,-33,-17,-28,-20,-27,-20,-24,-17,-21,-19,-19,-20,-15,-20,-16,-17,-16,-18,-13,-18,-14,-19,-7,-15,-6,-15,-6,-16,-6,-13,-4,-17,0,-18,1,-18,1,-17,4,-19,4,-18,4,-21,7,-19,4,-24,2,-25,7,-25,1,-19,1,-21,1,-19,0,-20,1,-15,2,-14,3,-12,2,-11,-1,-7,1,-13,3,-11,1,-12,2,-13,4,-10,2,-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,-1,8,3,7,-2,7,1,8,-1,7,-3,7,1,9,-4,7,0,5,-4,8,-1,5,0,9,-1,5,-2,7,0,6,-1,8,-3,4,-1,4,-1,4,-1,0,-1,2,3,-3,4,-1,5,-3,6,0,6,-3,8,-3,9,-5,13,-5,8,-3,12,-4,12,-4,13,-10,13,-8,14,-10,13,-11,17,-15,18,-14,17,-15,21,-20,19,-19,21,-21,17,-18,21,-26,23,-30,26,-26,30,-30,30,-31,23,-29,28,-34,28,-34,38,-35,33,-39,30,-36,32,-40,0,0]",10:05:46.810
CSI_DATA,400,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,279166467,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,19,-5,18,-4,19,-4,18,-3,18,-3,17,-2,17,-2,15,-1,15,-1,14,-2,13,-1,12,-2,11,-2,10,-2,10,-3,9,-3,8,-3,7,-4,7,-4,7,-5,7,-5,6,-5,5,-5,5,-5,4,-6,4,-6,0,0,4,-6,4,-7,3,-7,3,-8,3,-8,3,-8,3,-8,3,-9,4,-8,4,-9,4,-8,4,-8,4,-7,4,-6,4,-6,3,-5,4,-5,3,-5,3,-5,3,-5,2,-4,3,-5,3,-4,2,-5,2,-4,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-33,45,-30,48,-28,47,-26,42,-24,51,-25,44,-23,49,-25,44,-20,47,-21,45,-16,44,-17,41,-13,36,-15,39,-14,36,-16,32,-11,27,-9,25,-14,21,-13,23,-15,15,-12,21,-18,14,-17,13,-16,15,-18,15,-19,13,-21,8,-16,7,-20,6,-20,6,-21,3,-19,7,-23,3,-23,5,-25,1,-24,4,-25,5,-26,6,-22,4,-24,7,-24,8,-22,8,-20,6,-21,8,-14,10,-16,6,-17,7,-15,6,-16,5,-12,2,-13,6,-14,4,-12,2,-14,3,-10,5,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,5,-11,3,-10,0,-12,0,-7,0,-11,1,-10,-1,-10,2,-7,0,-7,3,-9,-1,-8,2,-8,3,-9,2,-9,0,-7,-2,-7,0,-4,-3,-4,-2,-5,0,-3,3,-2,1,-2,4,-2,2,0,5,0,5,3,6,2,7,1,9,3,12,1,10,3,14,6,14,5,12,9,11,5,14,9,16,10,16,12,15,11,17,11,19,12,19,15,21,17,17,18,24,20,26,20,24,26,26,21,29,26,26,27,29,24,28,29,36,31,32,31,36,33,38,31,42,0,0]",10:05:46.868
CSI_DATA,401,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,279267116,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,2,18,2,19,3,18,3,17,3,16,3,15,3,15,4,13,2,13,3,12,2,12,2,11,1,11,1,9,1,10,0,8,-1,9,-1,8,-2,8,-2,8,-2,6,-2,7,-3,7,-3,6,-4,0,0,6,-5,6,-4,6,-6,5,-5,5,-6,6,-6,6,-6,6,-6,6,-6,6,-6,7,-5,6,-5,7,-5,6,-4,6,-3,5,-3,5,-3,4,-3,5,-3,4,-3,4,-3,4,-3,4,-2,4,-3,4,-3,4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,19,52,21,47,27,50,28,50,27,45,28,49,29,49,28,44,26,44,27,37,29,38,26,34,26,32,21,29,19,29,20,29,19,29,16,28,13,25,13,25,14,22,9,24,9,19,6,22,6,21,4,21,4,21,0,18,-1,21,-3,16,-4,19,-3,17,-6,21,-5,21,-6,22,-7,23,-6,23,-10,22,-6,22,-9,22,-7,22,-6,21,-5,24,-2,21,-3,17,1,17,-1,16,1,12,1,14,1,13,0,13,-2,11,-2,14,-2,13,2,13,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-6,-8,-5,-10,-8,-7,-8,-7,-9,-4,-9,-5,-8,-2,-6,-5,-4,-3,-8,-4,-6,-8,-5,-6,-5,-7,-9,-5,-6,-3,-6,-5,-6,-4,-8,-5,-4,-5,-4,-5,-5,-6,-3,-5,0,-2,0,-6,0,-4,4,-4,5,-6,5,-7,7,-7,7,-5,11,-8,9,-10,9,-7,9,-5,12,-8,15,-8,14,-8,16,-7,17,-6,22,-8,21,-7,24,-8,26,-7,24,-11,28,-9,30,-12,35,-8,33,-9,34,-7,38,-8,39,-4,43,-10,42,-10,46,-11,46,-19,48,-16,50,0,0]",10:05:46.900
CSI_DATA,402,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,279366490,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-11,16,-11,15,-12,16,-12,15,-12,15,-12,13,-12,13,-12,12,-11,11,-11,11,-10,10,-10,9,-9,9,-8,9,-7,8,-6,8,-6,8,-5,8,-4,8,-4,8,-4,7,-3,7,-3,7,-2,7,-2,7,-2,7,0,0,0,7,0,7,0,6,2,7,2,7,1,7,2,7,1,8,1,7,1,8,0,8,0,8,-1,7,-1,7,-1,6,-1,6,-1,6,-1,5,0,5,0,5,0,4,0,5,-1,4,-1,4,-1,4,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,55,-16,56,-15,55,-13,54,-12,49,-14,54,-17,52,-16,52,-18,49,-19,48,-18,45,-19,42,-15,37,-19,42,-20,33,-14,31,-13,33,-10,29,-12,30,-6,29,-5,29,-4,24,-4,25,0,22,0,25,2,22,3,26,5,23,1,19,4,18,7,16,7,15,11,18,11,15,10,18,13,17,13,17,14,19,13,19,17,19,13,18,12,18,8,19,6,16,7,17,8,15,5,14,6,15,5,13,6,13,7,9,4,11,8,11,8,11,5,11,6,11,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-8,4,-6,6,-9,8,-4,7,-4,6,-8,7,-9,8,-5,3,-6,6,-6,6,-3,5,-5,4,-6,0,-6,4,-6,3,-7,6,-4,5,-5,3,-3,2,-6,6,-4,0,-3,2,-3,-2,-4,0,-2,-5,-4,-6,-2,-5,-4,-7,-4,-11,-6,-12,-1,-9,-6,-9,-8,-13,-4,-11,-5,-12,-6,-17,-5,-20,-3,-19,-4,-22,-2,-23,-1,-28,-3,-27,-4,-28,-2,-29,-2,-31,2,-34,-1,-40,1,-37,1,-38,2,-43,0,-44,-4,-44,-2,-50,-4,-51,-3,-53,-5,-56,-4,0,0]",10:05:46.929
CSI_DATA,403,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,279466459,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-4,-19,-4,-20,-4,-20,-3,-19,-3,-19,-2,-19,-2,-18,-1,-17,-1,-16,-1,-16,-1,-15,-2,-14,-2,-14,-2,-12,-2,-11,-2,-11,-3,-10,-3,-9,-3,-10,-3,-9,-4,-8,-4,-8,-4,-7,-5,-7,-5,-6,-5,-6,0,0,-5,-5,-5,-5,-6,-4,-6,-4,-6,-4,-7,-4,-7,-5,-8,-5,-7,-5,-7,-5,-7,-5,-7,-5,-6,-6,-6,-6,-5,-6,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3,-3,-4,-3,-4,-3,-4,-3,-3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-54,7,-64,10,-49,15,-55,14,-65,9,-50,17,-60,16,-47,18,-52,14,-45,20,-46,19,-45,20,-41,17,-43,14,-34,11,-34,11,-33,7,-37,8,-32,7,-31,4,-28,1,-28,2,-23,2,-24,0,-26,0,-22,-1,-21,-4,-19,-6,-22,-5,-21,-8,-19,-10,-17,-10,-19,-9,-13,-11,-20,-12,-18,-18,-14,-14,-19,-16,-22,-13,-19,-13,-19,-14,-18,-13,-21,-11,-20,-10,-18,-8,-21,-5,-16,-8,-18,-5,-12,-5,-14,-4,-13,-5,-10,-4,-12,-5,-10,-6,-14,-7,-11,-6,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,7,-8,9,-7,8,-6,8,-9,7,-7,6,-6,6,-5,5,-7,4,-8,2,-6,5,-6,7,-6,6,-7,5,-7,3,-7,8,-7,2,-6,7,-5,5,-6,4,-3,0,-2,3,-4,0,2,1,2,3,2,2,3,4,6,2,6,2,9,4,10,4,11,3,10,7,13,4,11,2,15,2,16,5,17,2,19,3,23,3,20,2,24,1,26,-1,32,0,27,1,31,3,33,4,32,2,40,0,40,1,40,1,46,1,42,1,45,0,46,0,50,7,55,3,0,0]",10:05:46.994
CSI_DATA,404,1a:00:00:00:00:00,-40,11,1,0,1,1,1,0,0,0,1,-92,0,11,2,279567890,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,16,10,16,11,16,11,16,11,14,11,14,11,13,11,13,10,11,10,11,9,10,9,10,8,10,7,9,7,9,6,8,5,8,5,8,4,8,4,7,3,7,3,7,2,7,1,7,1,6,1,6,0,0,0,6,-1,6,-1,6,-2,6,-2,6,-2,7,-3,7,-3,7,-3,7,-3,8,-3,8,-3,7,-2,7,-2,7,-1,6,0,6,0,5,0,5,0,5,-1,4,-1,4,-1,4,-1,4,-1,4,-1,4,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,44,28,43,32,44,34,45,34,41,32,43,28,46,26,47,26,45,27,44,20,44,21,40,14,38,21,36,17,32,14,30,21,30,15,30,18,26,18,25,13,25,19,21,16,20,17,16,16,14,16,10,14,11,17,10,16,7,18,3,18,4,17,6,16,3,16,0,17,-3,22,1,21,1,22,1,22,-4,22,-1,22,-2,22,-3,20,4,18,2,22,4,16,3,18,4,15,1,13,3,11,3,12,5,13,0,12,2,12,2,13,1,12,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-9,-3,-9,-1,-9,-4,-8,-3,-9,-1,-10,-1,-10,-1,-8,2,-11,1,-12,1,-8,3,-8,-1,-7,-2,-9,-1,-11,-2,-7,2,-9,1,-7,1,-6,1,-3,1,-4,1,-5,3,-3,-2,-2,-4,-3,-6,-1,-7,1,-9,2,-9,3,-9,2,-11,1,-12,2,-14,1,-11,3,-12,4,-13,6,-10,9,-12,7,-16,9,-17,15,-15,17,-18,15,-21,16,-20,20,-20,22,-22,16,-25,21,-28,27,-28,24,-24,27,-31,31,-29,31,-34,33,-31,32,-37,35,-39,36,-40,37,0,0]",10:05:47.023
