type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data,timestamp
CSI_DATA,161,1a:00:00:00:00:00,-38,11,1,0,1,1,1,0,0,0,1,-93,0,11,2,18196164,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-7,-12,-8,-11,-8,-11,-8,-11,-8,-10,-8,-10,-7,-9,-8,-9,-7,-9,-8,-9,-8,-8,-8,-8,-8,-8,-9,-8,-9,-7,-9,-7,-9,-7,-10,-7,-10,-7,-10,-6,-10,-7,-10,-7,-9,-8,-9,-8,-9,-8,-9,-9,0,0,-8,-8,-7,-9,-6,-8,-6,-8,-6,-8,-5,-7,-5,-7,-5,-7,-5,-7,-5,-6,-5,-6,-4,-6,-4,-6,-4,-6,-4,-6,-3,-6,-3,-6,-2,-6,-3,-6,-2,-5,-2,-6,-1,-5,0,-5,0,-5,0,-4,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-79,-19,-77,-15,-65,-22,-73,-19,-77,-18,-65,-23,-72,-21,-65,-19,-66,-24,-57,-20,-58,-23,-57,-22,-61,-25,-59,-21,-48,-27,-54,-31,-54,-33,-54,-28,-50,-36,-49,-32,-46,-42,-51,-40,-44,-35,-52,-36,-52,-43,-51,-42,-55,-36,-52,-30,-54,-31,-57,-34,-60,-24,-53,-25,-62,-24,-51,-20,-56,-16,-39,-18,-45,-9,-45,-11,-41,-16,-37,-17,-44,-6,-34,-9,-36,-15,-37,-11,-30,-10,-33,-12,-28,-10,-33,-3,-26,2,-32,1,-28,2,-26,4,-24,9,-20,11,-23,10,-19,15,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-12,36,-6,40,-8,36,-1,40,7,35,4,43,6,39,19,38,20,41,20,32,19,35,22,28,19,28,20,26,24,25,21,17,19,20,19,15,14,16,5,18,9,24,7,21,1,20,-4,26,-1,27,-5,29,-9,29,-10,36,-11,36,-10,35,-18,36,-18,43,-13,49,-9,55,-16,53,-19,56,-22,55,-10,51,-19,60,-18,55,-16,61,-20,60,-16,70,-22,56,-21,68,-16,67,-21,67,-18,70,-25,77,-19,68,-23,77,-28,73,-22,68,-23,70,-26,70,-18,83,-25,0,0]",18:37:47.161
CSI_DATA,162,1a:00:00:00:00:00,-38,11,1,0,1,1,1,0,0,0,1,-93,0,11,2,18395129,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,7,11,7,11,7,11,6,10,7,11,6,9,7,9,7,8,7,8,7,8,7,7,6,7,7,7,8,7,8,6,8,6,9,6,9,6,9,6,10,6,9,6,10,6,9,7,9,7,8,7,8,7,0,0,8,7,7,8,7,8,6,8,6,7,5,7,5,6,5,5,4,5,5,6,4,5,4,5,4,5,4,5,4,5,3,5,3,5,2,5,2,4,2,5,1,5,0,4,0,4,0,4,-1,3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,69,33,73,24,62,33,63,38,71,34,56,41,64,33,55,37,65,32,51,35,50,34,47,45,46,41,48,38,43,40,41,37,41,45,42,42,37,51,39,43,33,53,35,49,34,48,39,59,39,52,42,55,47,50,44,49,44,43,45,44,40,37,42,39,47,34,38,35,40,30,37,28,36,23,35,27,34,26,31,25,31,23,31,21,28,22,28,19,22,22,31,21,28,19,25,14,21,10,27,11,25,11,25,10,23,2,23,-1,25,0,19,-4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,3,-39,3,-43,1,-36,-6,-43,-5,-39,-10,-38,-9,-37,-18,-38,-18,-38,-26,-28,-24,-32,-27,-29,-24,-25,-22,-22,-22,-25,-19,-21,-19,-19,-22,-20,-13,-16,-8,-17,-8,-21,-8,-20,-3,-21,0,-28,0,-30,5,-30,5,-30,8,-37,13,-35,14,-39,16,-39,16,-46,20,-51,20,-47,19,-49,17,-55,22,-52,21,-54,21,-57,22,-58,21,-62,28,-58,24,-65,26,-57,22,-57,29,-60,32,-65,30,-64,28,-71,32,-66,26,-67,36,-61,32,-71,41,-71,31,-70,37,-69,39,0,0]",18:37:47.316
CSI_DATA,163,1a:00:00:00:00:00,-37,11,1,0,1,1,1,0,0,0,1,-93,0,11,2,18497246,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-1,13,-1,13,-1,12,-1,13,-1,12,0,12,0,11,0,12,0,11,1,10,1,10,2,11,2,10,2,10,3,10,3,10,3,11,3,10,3,11,3,11,4,11,3,11,4,11,3,11,3,11,2,12,0,0,1,11,0,11,0,11,0,9,-1,9,0,9,-1,8,0,8,-1,7,0,7,0,7,0,7,0,7,0,6,-1,6,-1,6,-1,5,-1,5,-2,5,-2,5,-2,4,-3,4,-3,4,-3,3,-3,2,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,65,-38,65,-35,59,-43,60,-41,66,-35,61,-39,64,-36,57,-31,62,-26,56,-31,57,-30,54,-34,58,-18,58,-18,58,-20,59,-14,61,-11,60,-9,62,-18,61,-16,60,-13,62,-5,61,-17,61,-9,67,-20,64,-13,65,-13,63,-18,63,-16,66,-15,66,-21,60,-22,55,-20,52,-29,57,-23,40,-24,40,-24,39,-23,37,-25,38,-21,41,-19,39,-18,33,-18,38,-21,29,-22,28,-21,28,-21,27,-17,25,-21,26,-21,22,-23,15,-29,14,-24,10,-20,11,-17,4,-18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,-29,-26,-28,-26,-38,-20,-36,-20,-38,-20,-41,-8,-41,-6,-45,-7,-42,0,-47,-6,-43,-1,-38,0,-37,-2,-36,4,-31,5,-34,5,-29,0,-26,-3,-20,3,-25,-4,-20,-7,-19,-10,-24,-12,-18,-18,-17,-22,-20,-27,-20,-28,-21,-33,-24,-34,-22,-36,-28,-36,-29,-39,-26,-44,-35,-39,-35,-43,-38,-48,-36,-49,-30,-54,-32,-56,-37,-57,-40,-54,-43,-51,-38,-62,-39,-59,-40,-51,-50,-64,-48,-57,-48,-63,-43,-60,-46,-68,-40,-71,-39,-72,-41,-66,-37,-63,-40,-67,-43,-74,-47,0,0]",18:37:47.419
CSI_DATA,164,1a:00:00:00:00:00,-37,11,1,0,1,1,1,0,0,0,1,-93,0,11,2,18595569,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,1,-13,1,-14,1,-13,1,-13,0,-12,0,-13,0,-12,-1,-12,0,-12,-2,-11,-2,-11,-2,-11,-3,-11,-3,-11,-3,-12,-3,-11,-3,-12,-4,-11,-4,-12,-4,-12,-4,-12,-4,-12,-4,-12,-4,-12,-4,-12,-3,-12,0,0,-2,-12,-1,-11,-1,-12,-1,-10,-1,-10,-1,-10,0,-9,-1,-9,0,-8,-1,-7,-1,-7,-1,-7,-1,-7,0,-7,0,-7,0,-7,0,-7,1,-7,1,-6,1,-6,1,-6,2,-5,2,-5,2,-4,2,-3,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-66,43,-54,45,-53,43,-67,45,-58,40,-52,41,-65,39,-54,37,-58,37,-55,41,-57,32,-54,32,-56,29,-53,29,-61,25,-58,19,-55,19,-59,17,-56,15,-55,19,-60,14,-62,14,-66,17,-62,16,-64,19,-67,18,-68,14,-68,16,-61,18,-63,25,-64,22,-62,24,-57,27,-50,25,-52,20,-45,26,-42,24,-43,23,-36,21,-36,24,-37,17,-33,20,-37,16,-30,15,-33,20,-32,19,-29,19,-27,22,-24,24,-21,24,-18,20,-17,20,-18,24,-15,24,-7,18,-10,19,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28,22,32,18,36,16,35,14,36,11,36,9,42,5,43,3,45,6,38,1,39,-9,39,-9,35,-8,35,-12,37,-9,32,-10,27,-4,26,2,21,-2,20,1,11,6,22,4,19,11,18,19,14,19,21,19,20,24,21,25,26,32,23,33,29,38,26,44,31,35,32,38,34,40,41,43,39,41,41,45,39,46,39,46,38,51,44,46,45,51,44,53,43,50,49,57,49,53,46,52,42,60,46,59,49,66,47,66,51,58,44,53,46,57,51,70,48,0,0]",18:37:47.517
CSI_DATA,165,1a:00:00:00:00:00,-37,11,1,0,1,1,1,0,0,0,1,-93,0,11,2,18702440,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-11,8,-11,8,-10,7,-10,7,-10,7,-10,7,-9,7,-9,7,-9,7,-8,7,-8,8,-7,8,-7,8,-7,9,-7,9,-7,8,-7,10,-6,9,-6,10,-7,10,-7,10,-7,10,-6,10,-7,10,-7,9,-7,9,0,0,-8,9,-8,8,-7,7,-7,6,-7,6,-6,6,-7,5,-6,5,-6,5,-6,5,-5,4,-5,5,-5,5,-6,4,-5,4,-5,4,-5,3,-5,3,-6,3,-5,3,-5,1,-5,1,-5,1,-5,0,-4,0,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,8,-75,14,-64,12,-78,9,-74,12,-65,11,-68,14,-64,17,-71,16,-58,17,-61,13,-63,15,-65,14,-59,21,-57,23,-49,28,-53,27,-56,32,-47,28,-48,29,-48,29,-58,35,-46,35,-51,29,-52,34,-55,33,-55,42,-53,32,-54,34,-57,31,-58,36,-54,27,-58,21,-46,18,-51,20,-47,15,-48,10,-51,16,-41,9,-40,13,-38,15,-37,13,-34,11,-34,14,-30,9,-35,11,-30,11,-35,4,-26,6,-28,1,-31,-3,-31,-4,-22,-6,-29,-7,-24,-8,-21,-13,-13,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-36,8,-34,12,-41,14,-31,15,-37,18,-34,23,-33,22,-34,32,-27,31,-32,20,-28,30,-29,29,-25,30,-22,27,-20,28,-17,18,-15,22,-17,18,-13,15,-10,13,-18,12,-21,6,-19,5,-17,2,-24,-1,-27,1,-30,0,-32,-7,-34,-5,-37,-4,-42,-6,-41,-7,-44,-3,-53,-6,-50,-4,-55,-5,-57,-4,-55,-7,-59,-8,-62,-1,-65,-5,-62,-9,-67,-15,-64,-8,-64,-1,-67,1,-71,-6,-66,-11,-74,-7,-71,-12,-70,-12,-74,-15,-79,-11,-74,-15,-68,-14,-69,-16,-77,0,0]",18:37:47.624
CSI_DATA,166,1a:00:00:00:00:00,-37,11,1,0,1,1,1,0,0,0,1,-93,0,11,2,18795919,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-11,9,-10,8,-10,9,-10,8,-9,8,-10,8,-9,8,-9,8,-8,8,-7,8,-7,9,-6,8,-7,9,-6,8,-5,9,-5,9,-5,10,-5,10,-5,10,-5,10,-5,10,-5,11,-6,11,-6,10,-6,10,-7,10,0,0,-7,9,-6,8,-6,8,-7,8,-6,7,-6,6,-6,6,-6,6,-5,5,-5,6,-5,5,-4,6,-4,5,-5,4,-4,5,-5,5,-5,4,-5,4,-5,3,-5,3,-5,3,-5,2,-5,1,-5,1,-5,1,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,69,-34,56,-39,66,-44,64,-40,53,-38,65,-33,61,-33,64,-32,55,-35,59,-30,58,-24,58,-24,51,-24,54,-21,60,-22,53,-18,53,-16,55,-13,56,-9,58,-10,68,-5,60,-7,64,-8,67,-7,64,-10,59,-9,63,-12,67,-12,65,-15,66,-13,55,-18,59,-21,55,-19,58,-19,49,-23,54,-21,49,-16,38,-13,44,-14,36,-18,39,-16,37,-14,32,-14,34,-15,32,-12,37,-17,30,-18,25,-23,28,-18,27,-22,26,-24,20,-19,18,-18,16,-22,14,-20,11,-17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,-22,-29,-27,-22,-29,-22,-37,-18,-36,-22,-40,-13,-37,-15,-46,-12,-38,-5,-43,-2,-42,-6,-39,-2,-37,1,-35,4,-28,2,-30,0,-29,-3,-24,0,-24,3,-23,-3,-20,-9,-22,-10,-21,-18,-23,-21,-14,-23,-18,-27,-17,-28,-20,-28,-18,-36,-21,-37,-22,-35,-26,-42,-27,-47,-28,-50,-26,-44,-31,-49,-27,-54,-33,-53,-36,-47,-35,-49,-34,-53,-36,-57,-43,-58,-40,-56,-41,-62,-44,-57,-37,-65,-46,-60,-34,-60,-37,-65,-38,-64,-35,-65,-37,-66,-42,-65,-45,-64,-44,-75,-42,0,0]",18:37:47.718
CSI_DATA,167,1a:00:00:00:00:00,-38,11,1,0,1,1,1,0,0,0,1,-93,0,11,2,18997839,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,10,7,11,7,10,7,10,7,10,6,11,7,9,6,10,5,9,6,9,5,10,4,10,4,10,3,10,4,10,3,10,3,11,3,10,3,11,3,11,3,11,2,11,3,11,3,11,3,11,3,12,4,0,0,10,5,9,5,9,5,8,5,7,5,7,5,7,4,6,4,6,5,6,3,6,4,6,3,5,4,5,4,5,4,4,4,4,4,4,4,3,4,3,4,2,5,2,4,1,4,0,4,0,4,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,65,47,59,47,56,45,57,52,58,42,58,42,56,47,55,45,47,42,40,45,45,47,36,45,45,49,37,44,37,45,29,45,32,51,29,53,28,48,28,48,29,53,23,58,29,56,30,54,23,58,30,57,26,54,26,57,30,57,34,55,35,49,36,40,37,40,36,42,37,36,33,32,31,37,32,35,30,26,25,29,23,25,24,28,29,27,26,27,28,23,27,20,23,21,24,17,22,19,27,17,23,8,26,7,28,7,25,1,27,-3,20,-6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33,19,-37,18,-34,12,-36,4,-41,10,-43,7,-36,-5,-43,-2,-45,-11,-39,-5,-38,-9,-37,-15,-38,-11,-32,-14,-33,-14,-29,-15,-27,-11,-24,-6,-21,-6,-26,-6,-22,2,-25,0,-18,1,-23,7,-18,9,-26,13,-25,18,-29,18,-29,23,-33,25,-33,26,-34,27,-39,28,-43,28,-41,33,-47,33,-49,36,-46,36,-51,34,-52,38,-50,43,-54,36,-54,36,-57,39,-54,38,-59,42,-57,46,-52,38,-60,45,-59,45,-61,49,-61,46,-64,50,-57,47,-63,45,-62,46,-61,55,0,0]",18:37:47.919
CSI_DATA,168,1a:00:00:00:00:00,-37,11,1,0,1,1,1,0,0,0,1,-93,0,11,2,19101416,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,12,5,12,4,12,4,11,4,11,4,11,3,11,4,10,4,10,3,11,2,10,1,11,1,10,1,10,0,10,0,11,0,11,0,11,0,11,0,11,0,12,0,12,0,12,0,11,0,11,1,12,1,0,0,11,2,10,2,9,2,9,3,8,3,8,3,7,3,7,3,7,2,7,2,6,2,6,2,7,2,6,2,6,2,6,2,5,2,5,3,4,3,4,3,3,3,3,3,2,3,2,3,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,60,55,56,47,44,57,49,62,48,47,43,57,45,53,40,61,44,49,31,48,34,49,41,48,33,55,31,51,26,51,25,50,23,59,24,55,24,55,23,51,21,67,17,53,18,55,21,55,21,67,25,65,23,57,29,58,26,58,26,61,27,51,29,55,28,47,32,51,29,39,26,37,28,38,28,35,26,30,26,35,23,30,21,30,20,31,19,31,20,29,26,19,18,26,22,20,18,16,22,18,21,13,22,14,25,8,25,5,22,4,23,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,24,-32,17,-34,19,-34,13,-42,12,-35,10,-38,9,-39,6,-44,1,-42,-3,-38,-3,-41,-6,-37,-7,-39,-9,-28,-8,-32,-7,-27,-7,-24,-4,-22,-5,-22,-5,-25,1,-25,1,-17,4,-18,8,-25,13,-21,19,-20,23,-20,24,-25,27,-28,28,-34,31,-30,33,-34,34,-33,37,-38,38,-43,41,-42,41,-40,40,-43,46,-48,48,-45,43,-49,49,-45,45,-53,51,-45,42,-50,54,-49,52,-49,52,-54,56,-52,52,-49,50,-55,63,-49,54,-46,55,-53,50,-50,45,-53,72,0,0]",18:37:48.022
CSI_DATA,169,1a:00:00:00:00:00,-38,11,1,0,1,1,1,0,0,0,1,-93,0,11,2,19203669,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-1,-13,-2,-14,-1,-13,-1,-13,-2,-12,-2,-13,-2,-12,-3,-12,-3,-12,-3,-11,-3,-11,-3,-11,-4,-10,-4,-10,-5,-11,-4,-10,-5,-11,-5,-10,-6,-11,-6,-10,-6,-11,-5,-11,-5,-11,-6,-11,-4,-11,-5,-11,0,0,-4,-11,-2,-11,-3,-11,-2,-10,-2,-10,-2,-9,-1,-9,-2,-9,-2,-8,-2,-7,-2,-8,-1,-7,-2,-7,-1,-7,-1,-7,-1,-7,0,-7,-1,-7,0,-6,0,-6,1,-6,1,-5,2,-5,2,-4,2,-4,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,-76,21,-69,20,-70,16,-70,22,-61,16,-69,16,-63,14,-70,8,-59,14,-67,13,-64,10,-60,8,-60,3,-56,2,-58,-1,-57,-1,-59,-5,-58,-11,-64,-6,-54,-6,-61,-10,-54,-12,-69,-12,-60,-14,-63,-8,-60,-4,-63,-8,-60,-6,-66,1,-67,-2,-67,-1,-64,6,-60,10,-53,5,-51,5,-50,2,-51,9,-44,3,-47,7,-42,7,-37,5,-39,8,-36,2,-38,6,-37,4,-31,6,-36,7,-30,11,-37,13,-31,16,-29,15,-21,14,-24,13,-18,18,-16,21,-10,15,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,33,16,26,22,26,25,27,22,22,32,21,36,23,31,13,36,16,35,12,36,14,40,9,35,8,32,4,34,4,31,3,29,5,23,11,21,9,21,7,17,12,16,10,16,17,12,23,12,23,10,25,10,30,11,32,10,36,11,36,12,42,15,44,14,53,19,53,15,52,23,52,16,50,15,53,17,56,21,61,17,59,22,61,21,60,18,65,22,70,27,62,16,64,23,67,20,66,21,69,24,74,22,78,19,62,23,70,26,70,27,76,19,0,0]",18:37:48.126
CSI_DATA,170,1a:00:00:00:00:00,-37,11,1,0,1,1,1,0,0,0,1,-93,0,11,2,19295083,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,13,3,13,3,12,3,12,3,11,2,12,2,11,2,11,2,11,2,11,1,10,0,11,0,11,0,10,-1,11,-1,11,-2,11,-2,11,-2,11,-2,11,-2,11,-2,12,-2,11,-2,11,-2,12,-1,12,-1,0,0,11,0,10,0,10,1,9,0,9,1,9,1,8,1,8,0,7,1,7,0,7,1,6,0,6,0,6,0,6,1,5,1,5,1,5,1,5,1,4,2,4,2,4,3,3,2,2,3,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,55,51,64,42,47,51,54,61,57,54,45,56,49,52,40,52,49,43,37,53,39,45,40,48,34,57,38,50,30,54,30,55,23,55,24,53,18,54,23,56,18,66,22,55,14,59,22,62,20,60,24,68,19,59,23,62,26,61,24,60,29,51,28,56,31,44,27,51,31,36,27,39,24,36,29,34,26,35,23,33,29,29,20,29,19,33,20,28,21,28,27,24,20,27,26,20,21,17,21,17,27,17,28,14,24,10,28,8,18,5,24,-2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,21,-33,14,-38,17,-37,7,-45,9,-34,10,-44,0,-43,5,-46,-7,-46,-7,-43,-4,-39,-10,-38,-8,-40,-8,-32,-9,-32,-13,-20,-10,-30,-6,-27,1,-22,-7,-24,-1,-20,7,-23,9,-18,10,-22,12,-19,15,-28,20,-24,20,-32,25,-26,25,-31,33,-31,29,-37,29,-41,34,-39,42,-46,41,-47,39,-46,37,-44,42,-52,43,-50,42,-51,44,-43,37,-56,48,-46,46,-48,45,-53,48,-57,46,-60,53,-56,55,-58,48,-55,59,-56,56,-60,56,-55,56,-56,43,-54,66,0,0]",18:37:48.216
